,pizza_ingredients,total_ingredients_qty
0,?duja Salami,2897.9245078293707
1,Alfredo Sauce,1051.6365648660303
2,Anchovies,2687.382721759482
3,Artichokes,9045.583184225039
4,Arugula,689.1646939577449
5,Asiago Cheese,5482.1867893097315
6,Bacon,18073.733401703503
7,Barbecue Sauce,2108.8226572304393
8,Barbecued Chicken,6039.711360974424
9,Beef Chuck Roast,11505.482139524394
10,Blue Cheese,1386.7017651018095
11,Brie Carre Cheese,1052.3183597333202
12,Calabrese Salami,10432.320161213855
13,Capocollo,46133.22811608743
14,Caramelized Onions,561.2364585244375
15,Chicken,62649.08906453428
16,Chipotle Sauce,4616.783943366815
17,Chorizo Sausage,3082.6480771664137
18,Cilantro,2308.3919716834075
19,Coarse Sicilian Salami,9769.16151428223
20,Corn,15474.457366072897
21,Eggplant,2788.9879104065612
22,Feta Cheese,9938.67952525526
23,Fontina Cheese,4731.204080353218
24,Friggitello Peppers,724.4811269573427
25,Garlic,20581.76909104254
26,Genoa Salami,7632.322992644041
27,Goat Cheese,9192.14785352007
28,Gorgonzola Piccante Cheese,5510.355194679932
29,Gouda Cheese,3604.3153585534897
30,Green Olives,3776.9455685169996
31,Green Peppers,6260.320378642432
32,Italian Sausage,616.5296154332827
33,Jalapeno Peppers,4110.549650960153
34,Kalamata Olives,3133.536877827919
35,Luganega Sausage,4884.580757141115
36,Mozzarella Cheese,10968.306711833822
37,Mushrooms,22285.143441942808
38,Onions,2442.2903785705576
39,Oregano,870.9011076831277
40,Pancetta,4346.8867617440565
41,Parmigiano Reggiano Cheese,13006.668935466767
42,Pears,350.77278657777345
43,Peperoncini verdi,1427.1358556968898
44,Pepperoni,19913.109205063924
45,Pesto Sauce,3952.854122821164
46,Pineapple,9265.982837355587
47,Plum Tomatoes,3337.1328946115304
48,Prosciutto,1052.3183597333202
49,Prosciutto di San Daniele,1638.6729486131171
50,Provolone Cheese,1386.7017651018095
51,Red Onions,57263.955302680995
52,Red Peppers,11372.853814892042
53,Ricotta Cheese,6887.943993349914
54,Romano Cheese,1386.7017651018095
55,Sliced Ham,3292.517873244441
56,Smoked Gouda Cheese,1386.7017651018095
57,Soppressata Salami,5634.44360899864
58,Spinach,22962.063016638964
59,Sun-dried Tomatoes,1453.6843640388047
60,Thai Sweet Chilli Sauce,3543.307592974838
61,Thyme,175.38639328888672
62,Tomatoes,39714.727131920874
63,Zucchini,4037.0878232269915
